Year,Portfolio,ISIN,Name,Weight,CI,Contribution
2019,P(mv)_oos,US2091151041,CONSOLIDATED EDISON,0.018059250000213883,235.6326497527762,4.255348930098221
2019,P(mv)_oos,US6516391066,NEWMONT,0.012099961717819897,219.87508617123947,2.6604801253743484
2019,P(mv)_oos,US03027X1000,AMERICAN TOWER,0.026343286646765218,91.44164728968697,2.4088735260046255
2019,P(mv)_oos,US1713401024,CHURCH & DWIGHT CO.,0.06653768350753292,21.12520803685569,1.4056224063870946
2019,P(mv)_oos,GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,0.02661137264477411,38.34323536173663,1.0203661246174536
2019,P(mv)_oos(0.5),US4198701009,HAWAIIAN ELECTRIC INDS.,0.03640074058091947,1415.7237938807675,51.53339455528893
2019,P(mv)_oos(0.5),US3379321074,FIRSTENERGY,0.026669407779476465,1607.5009324216321,42.871097872641144
2019,P(mv)_oos(0.5),US8425871071,SOUTHERN,0.005041636426781922,3754.5675675675675,18.929164615462643
2019,P(mv)_oos(0.5),US2091151041,CONSOLIDATED EDISON,0.05563570077670695,235.6326497527762,13.109587594868048
2019,P(mv)_oos(0.5),US26441C2044,DUKE ENERGY,0.002435975410687821,3460.8870303005588,8.430635704980556
2019,P(mv)_oos(0.5),CA0084741085,AGNICO-EAGLE MNS. (NYS),0.03557491630912206,206.0702897447234,7.330933311465069
2019,P(mv)_oos(0.5),US03027X1000,AMERICAN TOWER,0.02983455171454261,91.44164728968697,2.728120554927131
2019,P(mv)_oos(0.5),US6516391066,NEWMONT,0.011724151702468457,219.87508617123947,2.577848865864936
2019,P(mv)_oos(0.5),US1713401024,CHURCH & DWIGHT CO.,0.06854607620446326,21.12520803685569,1.4480501199294498
2019,P(mv)_oos(0.5),GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,0.02942715506516621,38.34323536173663,1.1283323326899883
2019,P(vw)_oos(0.5),US6516391066,NEWMONT,0.0019226143218599612,219.87508617123947,0.4227349896930181
2019,P(vw)_oos(0.5),US0231351067,AMAZON.COM,0.010786858485316048,24.73302502930606,0.26679164090490426
2019,P(vw)_oos(0.5),US03027X1000,AMERICAN TOWER,0.002110756056948012,91.44164728968697,0.19301101087401054
2019,P(vw)_oos(0.5),US1912161007,COCA COLA,0.0032612701480064254,57.487512958250875,0.18748230989387613
2019,P(vw)_oos(0.5),US6826801036,ONEOK,0.0005114557493277775,333.5134305858497,0.17057736155116346
2019,P(vw)_oos(0.5),US6267171022,MURPHY OIL,0.0003326534346594493,471.645505904021,0.15689449748066617
2019,P(vw)_oos(0.5),US21036P1084,CONSTELLATION BRANDS 'A',0.004264599260198357,36.751188001188,0.15672908916127706
2019,P(vw)_oos(0.5),US4581401001,INTEL,0.0068464380968468,21.01682475158085,0.1438903896539759
2019,P(vw)_oos(0.5),US6866881021,ORMAT TECHNOLOGIES,0.00045211002227144975,281.4740562266863,0.12725724182948245
2019,P(vw)_oos(0.5),CA29250N1050,ENBRIDGE,0.0006201878501482522,196.65167336535555,0.12196097853251615
2019,P(vw),US65339F1012,NEXTERA ENERGY,0.0034761725182285864,3055.2554740061164,10.620595114907514
2019,P(vw),US8425871071,SOUTHERN,0.0019625028403823823,3754.5675675675675,7.368349515758923
2019,P(vw),US26441C2044,DUKE ENERGY,0.002030451514852596,3460.8870303005588,7.027163313407471
