screen_year,investment_year,ISIN,weight
2022,2023,ES0112501012,0.09586017246991975
2022,2023,FI0009007694,0.003072129334287891
2022,2023,FR0000054470,0.011007546560455304
2022,2023,FR0000130395,0.010243076051435745
2022,2023,FR0010221234,0.010766918635113074
2022,2023,GB0009067447,0.009414772090263252
2022,2023,GB00B3CX3644,0.03956247835323841
2022,2023,GB00B3DGH821,0.0002197494444219041
2022,2023,GB00BYYTFB60,0.0014502175518019433
2022,2023,NO0010215684,0.0019710101578322933
2022,2023,US09062X1037,0.044759014345315366
2022,2023,US12572Q1058,0.07395762458102151
2022,2023,US1258961002,0.022336219922184566
2022,2023,US1270971039,0.03734723333568783
2022,2023,US1890541097,0.05267829362489699
2022,2023,US25746U1097,0.009598495700346517
2022,2023,US3029411093,0.04622344265957559
2022,2023,US3379321074,0.053348462441029844
2022,2023,US4278661081,0.04290643184106197
2022,2023,US4404521001,0.008370395911608649
2022,2023,US4878361082,0.0001441475151812887
2022,2023,US5324571083,0.036876701222082316
2022,2023,US55261F1049,0.024549807646990638
2022,2023,US6516391066,0.006346842598025072
2022,2023,US75886F1075,0.013298282737425558
2022,2023,US7611521078,0.019851552109784277
2022,2023,US8326964058,0.06086784727798777
2023,2024,BE0974256852,0.04599655015076399
2023,2024,CA59162N1096,0.009791134798661175
2023,2024,CA8029121057,0.029009865214142942
2023,2024,DE0007042301,0.11474941195034981
2023,2024,ES0112501012,0.07266372281682067
2023,2024,FI0009007694,0.006640178738913819
2023,2024,FR0000054470,0.0011382117299376336
2023,2024,FR0000133308,0.01212233601747393
2023,2024,GB0006776081,0.0084181701393663
2023,2024,GB00B3CX3644,0.07699112712213343
2023,2024,GB00B3DGH821,0.006647124554690161
2023,2024,IL0002300114,0.0030766258641144284
2023,2024,US09062X1037,0.04295102892419508
2023,2024,US0936711052,0.027928815995581203
2023,2024,US12572Q1058,0.08903582891405543
2023,2024,US1258961002,0.02861628496050513
2023,2024,US1270971039,0.04479433715719265
2023,2024,US1890541097,0.017546343884139597
2023,2024,US3029411093,0.0717026087073468
2023,2024,US3379321074,0.03519731562295187
2023,2024,US4278661081,0.07095194043228463
2023,2024,US4404521001,0.052386660111468746
2023,2024,US4878361082,0.00682235329965492
2023,2024,US5324571083,0.023309597788222686
2023,2024,US6668071029,0.03311113114027065
2023,2024,US75886F1075,0.04165198829216386
2023,2024,US8326964058,0.026749305672598353
2024,2025,BE0974256852,0.02027871751598463
2024,2025,CA2918434077,0.02304676313319706
2024,2025,CA8029121057,0.02639092671358545
2024,2025,CH0014786500,0.022072120242663137
2024,2025,DE0007042301,0.11404353423470506
2024,2025,ES0112501012,0.09613921303660526
2024,2025,FR0000054470,0.022472394932351248
2024,2025,FR0000133308,0.008492061882568914
2024,2025,GB0006776081,0.0024403638591598037
2024,2025,GB0009067447,0.0029643154079056805
2024,2025,GB00B3CX3644,0.05732262011352471
2024,2025,GB00B3DGH821,0.007158462261984709
2024,2025,IL0002300114,0.01782952163662292
2024,2025,US00971T1016,0.009340747578940031
2024,2025,US09062X1037,0.052752983646743606
2024,2025,US0936711052,0.022621630077787648
2024,2025,US12572Q1058,0.07911114491044621
2024,2025,US1258961002,0.020870170990846277
2024,2025,US1270971039,0.0379156558854306
2024,2025,US1890541097,0.013441781968759321
2024,2025,US3029411093,0.07679441986582543
2024,2025,US3379321074,0.04836938342694659
2024,2025,US3755581036,0.0009432481248094221
2024,2025,US4278661081,0.06325199847374358
2024,2025,US4404521001,0.053573512202149405
2024,2025,US5324571083,0.020914445282558786
2024,2025,US75886F1075,0.02111921806026067
2024,2025,US8326964058,0.05402031812535498
2024,2025,US98389B1008,0.004308326408538938
